회사명,거래소코드,회계년도,상장폐지일,업종코드,산업코드,산업명,소속코드
(주)CMG제약,058820,2000/12,,01,032102,  의료용 물질 및 의약품 제조업,5
(주)CMG제약,058820,2001/12,,01,032102,  의료용 물질 및 의약품 제조업,5
(주)CMG제약,058820,2002/12,,01,032102,  의료용 물질 및 의약품 제조업,5
(주)CMG제약,058820,2003/12,,01,032102,  의료용 물질 및 의약품 제조업,5
(주)CMG제약,058820,2004/12,,01,032102,  의료용 물질 및 의약품 제조업,5
(주)CMG제약,058820,2005/12,,01,032102,  의료용 물질 및 의약품 제조업,5
(주)CMG제약,058820,2006/12,,01,032102,  의료용 물질 및 의약품 제조업,5
(주)CMG제약,058820,2007/12,,01,032102,  의료용 물질 및 의약품 제조업,5
(주)CMG제약,058820,2008/12,,01,032102,  의료용 물질 및 의약품 제조업,5
(주)CMG제약,058820,2009/12,,01,032102,  의료용 물질 및 의약품 제조업,5
(주)CMG제약,058820,2010/12,,01,032102,  의료용 물질 및 의약품 제조업,5
(주)CMG제약,058820,2011/12,,01,032102,  의료용 물질 및 의약품 제조업,5
(주)CMG제약,058820,2012/12,,01,032102,  의료용 물질 및 의약품 제조업,5
(주)CMG제약,058820,2013/12,,01,032102,  의료용 물질 및 의약품 제조업,5
(주)CMG제약,058820,2014/12,,01,032102,  의료용 물질 및 의약품 제조업,5
(주)CMG제약,058820,2015/12,,01,032102,  의료용 물질 및 의약품 제조업,5
(주)CMG제약,058820,2016/12,,01,032102,  의료용 물질 및 의약품 제조업,5
(주)CMG제약,058820,2017/12,,01,032102,  의료용 물질 및 의약품 제조업,5
(주)CMG제약,058820,2018/12,,01,032102,  의료용 물질 및 의약품 제조업,5
(주)CMG제약,058820,2019/12,,01,032102,  의료용 물질 및 의약품 제조업,5
(주)CMG제약,058820,2020/12,,01,032102,  의료용 물질 및 의약품 제조업,5
(주)CMG제약,058820,2021/12,,01,032102,  의료용 물질 및 의약품 제조업,5
(주)CMG제약,058820,2022/12,,01,032102,  의료용 물질 및 의약품 제조업,5
(주)DB하이텍,000990,1999/12,,01,032601,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",1
(주)DB하이텍,000990,2000/12,,01,032601,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",1
(주)DB하이텍,000990,2001/12,,01,032601,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",1
(주)DB하이텍,000990,2002/12,,01,032601,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",1
(주)DB하이텍,000990,2003/12,,01,032601,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",1
(주)DB하이텍,000990,2004/12,,01,032601,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",1
(주)DB하이텍,000990,2005/12,,01,032601,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",1
(주)DB하이텍,000990,2006/12,,01,032601,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",1
(주)DB하이텍,000990,2007/12,,01,032601,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",1
(주)DB하이텍,000990,2008/12,,01,032601,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",1
(주)DB하이텍,000990,2009/12,,01,032601,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",1
(주)DB하이텍,000990,2010/12,,01,032601,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",1
(주)DB하이텍,000990,2011/12,,01,032601,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",1
(주)DB하이텍,000990,2012/12,,01,032601,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",1
(주)DB하이텍,000990,2013/12,,01,032601,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",1
(주)DB하이텍,000990,2014/12,,01,032601,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",1
(주)DB하이텍,000990,2015/12,,01,032601,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",1
(주)DB하이텍,000990,2016/12,,01,032601,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",1
(주)DB하이텍,000990,2017/12,,01,032601,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",1
(주)DB하이텍,000990,2018/12,,01,032601,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",1
(주)DB하이텍,000990,2019/12,,01,032601,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",1
(주)DB하이텍,000990,2020/12,,01,032601,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",1
(주)DB하이텍,000990,2021/12,,01,032601,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",1
(주)DB하이텍,000990,2022/12,,01,032601,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",1
(주)ES큐브,050120,2001/06,,01,074604,  도매 및 상품 중개업,5
(주)ES큐브,050120,2002/06,,01,074604,  도매 및 상품 중개업,5
(주)ES큐브,050120,2003/06,,01,074604,  도매 및 상품 중개업,5
(주)ES큐브,050120,2004/06,,01,074604,  도매 및 상품 중개업,5
(주)ES큐브,050120,2005/12,,01,074604,  도매 및 상품 중개업,5
(주)ES큐브,050120,2006/12,,01,074604,  도매 및 상품 중개업,5
(주)ES큐브,050120,2007/12,,01,074604,  도매 및 상품 중개업,5
(주)ES큐브,050120,2008/12,,01,074604,  도매 및 상품 중개업,5
(주)ES큐브,050120,2009/12,,01,074604,  도매 및 상품 중개업,5
(주)ES큐브,050120,2010/12,,01,074604,  도매 및 상품 중개업,5
(주)ES큐브,050120,2011/12,,01,074604,  도매 및 상품 중개업,5
(주)ES큐브,050120,2012/12,,01,074604,  도매 및 상품 중개업,5
(주)ES큐브,050120,2013/12,,01,074604,  도매 및 상품 중개업,5
(주)ES큐브,050120,2014/12,,01,074604,  도매 및 상품 중개업,5
(주)ES큐브,050120,2015/12,,01,074604,  도매 및 상품 중개업,5
(주)ES큐브,050120,2016/12,,01,074604,  도매 및 상품 중개업,5
(주)ES큐브,050120,2017/12,,01,074604,  도매 및 상품 중개업,5
(주)ES큐브,050120,2018/12,,01,074604,  도매 및 상품 중개업,5
(주)ES큐브,050120,2019/12,,01,074604,  도매 및 상품 중개업,5
(주)ES큐브,050120,2020/12,,01,074604,  도매 및 상품 중개업,5
(주)ES큐브,050120,2021/12,,01,074604,  도매 및 상품 중개업,5
(주)ES큐브,050120,2022/12,,01,074604,  도매 및 상품 중개업,5
(주)HJ중공업,097230,2007/12,,01,064102,  종합 건설업,1
(주)HJ중공업,097230,2008/12,,01,064102,  종합 건설업,1
(주)HJ중공업,097230,2009/12,,01,064102,  종합 건설업,1
(주)HJ중공업,097230,2010/12,,01,064102,  종합 건설업,1
(주)HJ중공업,097230,2011/12,,01,064102,  종합 건설업,1
(주)HJ중공업,097230,2012/12,,01,064102,  종합 건설업,1
(주)HJ중공업,097230,2013/12,,01,064102,  종합 건설업,1
