,회사명,거래소코드,회계년도,상장폐지일,업종코드,산업코드,산업명,소속코드
0,(주)구스앤홈,329050,2017/12,2021/04/13,1,31302,  섬유제품 제조업; 의복제외,4
1,(주)극동자동화,272420,2017/12,2018/11/15,1,64203,  전문직별 공사업,4
2,(주)금빛,45890,2017/12,2021/12/20,1,32804,  전기장비 제조업,4
3,(주)넥스지,81970,2017/12,2018/10/11,1,105802,  출판업,4
4,(주)녹십자셀,31390,2017/12,2021/11/17,1,32101,  의료용 물질 및 의약품 제조업,4
5,(주)뉴로스,126870,2017/12,2022/10/26,1,32901,  기타 기계 및 장비 제조업,4
6,(주)다이오진,271850,2017/12,2023/04/12,1,137001,  연구개발업,4
7,(주)대원모방,311840,2017/12,2020/02/27,1,31302,  섬유제품 제조업; 의복제외,4
8,(주)더블유게임즈,192080,2017/12,2019/03/12,1,105802,  출판업,4
9,(주)데이드림엔터테인먼트,348840,2017/12,2023/08/10,1,105901,  영상ㆍ오디오 기록물 제작 및 배급업,4
10,(주)데코앤이,17680,2017/12,2019/11/20,1,31401,"  의복, 의복 액세서리 및 모피제품 제조업",4
11,(주)동성화학,5190,2017/12,2021/04/16,1,32001,  화학물질 및 화학제품 제조업; 의약품 제외,4
12,(주)드림티엔터테인먼트,220110,2017/12,2020/04/10,1,137309,"  기타 전문, 과학 및 기술 서비스업",4
13,(주)라이프사이언스테크놀로지,285770,2017/12,2023/06/12,1,105802,  출판업,4
14,(주)레드로버,60300,2017/12,2022/11/04,1,105901,  영상ㆍ오디오 기록물 제작 및 배급업,4
15,(주)루트로닉,85370,2017/12,2023/10/27,1,32701,"  의료, 정밀, 광학기기 및 시계 제조업",4
16,(주)맘스터치앤컴퍼니,220630,2017/12,2022/05/31,1,74603,  도매 및 상품 중개업,4
17,(주)맥스로텍,141070,2017/12,2021/09/16,1,32902,  기타 기계 및 장비 제조업,4
18,(주)멜파스,96640,2017/12,2023/07/17,1,32602,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",4
19,(주)모다,149940,2017/12,2020/07/10,1,32604,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",4
20,(주)미래SCI,28040,2017/12,2021/04/13,1,74601,  도매 및 상품 중개업,4
21,(주)미래테크놀로지,213090,2017/12,2021/10/05,1,105802,  출판업,4
22,(주)미애부,225850,2017/12,2022/04/27,1,74604,  도매 및 상품 중개업,4
23,(주)바이오빌,65940,2017/12,2020/07/31,1,32001,  화학물질 및 화학제품 제조업; 의약품 제외,4
24,(주)바이오시네틱스,281310,2017/12,2023/06/12,1,137001,  연구개발업,4
25,(주)본느,242420,2017/12,2018/10/29,1,32004,  화학물질 및 화학제품 제조업; 의약품 제외,4
26,(주)부산도시가스,15350,2017/12,2022/01/18,1,43502,"  전기, 가스, 증기 및 공기조절 공급업",4
27,(주)비에이치,90460,2017/12,2023/06/20,1,32602,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",4
28,(주)비엔디생활건강,215050,2017/12,2023/04/21,1,32004,  화학물질 및 화학제품 제조업; 의약품 제외,4
29,(주)비엔에프코퍼레이션,271780,2017/12,2020/11/05,1,32402,  1차 금속 제조업,4
30,(주)사조해표,79660,2017/12,2019/06/26,1,31007,  식료품 제조업,4
31,(주)세영디앤씨,52190,2017/12,2022/05/27,1,189001,"  창작, 예술 및 여가관련 서비스업",4
32,(주)소리바다,53110,2017/12,2022/09/07,1,106301,  정보서비스업,4
33,(주)스틸플라워,87220,2017/12,2018/05/08,1,32401,  1차 금속 제조업,4
34,(주)스페이스솔루션,245030,2017/12,2019/02/27,1,105802,  출판업,4
35,(주)스포츠서울,39670,2017/03,2022/04/20,1,105801,  출판업,4
36,(주)시냅스엠,246830,2017/12,2018/05/14,1,106301,  정보서비스업,4
37,(주)신한,5450,2017/12,2020/06/30,1,64101,  종합 건설업,4
38,(주)심팩메탈,90730,2017/12,2018/07/17,1,32401,  1차 금속 제조업,4
39,(주)썬테크놀로지스,122800,2017/12,2020/02/12,1,32403,  1차 금속 제조업,4
40,(주)씨그널엔터테인먼트그룹,99830,2017/12,2018/05/04,1,105901,  영상ㆍ오디오 기록물 제작 및 배급업,4
41,(주)씨앤에스자산관리,32040,2017/12,2018/10/11,1,147509,  사업지원 서비스업,4
42,(주)씨엠에스에듀,225330,2017/12,2022/03/17,1,168505,  교육 서비스업,4
43,(주)씨티네트웍스,189540,2017/12,2020/05/12,1,32604,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",4
44,(주)아이엘사이언스,122050,2017/12,2019/12/27,1,32804,  전기장비 제조업,4
45,(주)아이엠텍,226350,2017/12,2021/06/11,1,32602,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",4
46,(주)알로이스,271400,2017/12,2019/10/01,1,32604,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",4
47,(주)앙츠,267810,2017/12,2023/04/04,1,199501,  개인 및 소비용품 수리업,4
48,(주)에스마크,30270,2017/12,2020/05/21,1,31301,  섬유제품 제조업; 의복제외,4
49,(주)에스에이티,158300,2017/12,2021/12/09,1,32902,  기타 기계 및 장비 제조업,4
50,(주)에스에프씨,112240,2017/12,2020/06/30,1,32202,  고무 및 플라스틱제품 제조업,4
51,(주)에스와이제이,251540,2017/12,2018/09/07,1,31401,"  의복, 의복 액세서리 및 모피제품 제조업",4
52,(주)에스제이케이,80440,2017/12,2021/09/13,1,74607,  도매 및 상품 중개업,4
