,회사명,거래소코드,회계년도,상장폐지일,업종코드,산업코드,산업명,소속코드
0,(주)뉴로스,126870,2021/12,2022/10/26,1,32901,  기타 기계 및 장비 제조업,4
1,(주)다이오진,271850,2021/12,2023/04/12,1,137001,  연구개발업,4
2,(주)데이드림엔터테인먼트,348840,2021/12,2023/08/10,1,105901,  영상ㆍ오디오 기록물 제작 및 배급업,4
3,(주)라이프사이언스테크놀로지,285770,2021/12,2023/06/12,1,105802,  출판업,4
4,(주)레드로버,60300,2021/12,2022/11/04,1,105901,  영상ㆍ오디오 기록물 제작 및 배급업,4
5,(주)루트로닉,85370,2021/12,2023/10/27,1,32701,"  의료, 정밀, 광학기기 및 시계 제조업",4
6,(주)맘스터치앤컴퍼니,220630,2021/12,2022/05/31,1,74603,  도매 및 상품 중개업,4
7,(주)멜파스,96640,2021/12,2023/07/17,1,32602,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",4
8,(주)미애부,225850,2021/12,2022/04/27,1,74604,  도매 및 상품 중개업,4
9,(주)바이오시네틱스,281310,2021/12,2023/06/12,1,137001,  연구개발업,4
10,(주)비에이치,90460,2021/12,2023/06/20,1,32602,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",4
11,(주)비엔디생활건강,215050,2021/12,2023/04/21,1,32004,  화학물질 및 화학제품 제조업; 의약품 제외,4
12,(주)세영디앤씨,52190,2021/12,2022/05/27,1,189001,"  창작, 예술 및 여가관련 서비스업",4
13,(주)소리바다,53110,2021/12,2022/09/07,1,106301,  정보서비스업,4
14,(주)스포츠서울,39670,2021/03,2022/04/20,1,105801,  출판업,4
15,(주)앙츠,267810,2021/12,2023/04/04,1,199501,  개인 및 소비용품 수리업,4
16,(주)에스앤케이,950180,2021/07,2022/05/18,1,105802,  출판업,4
17,(주)에코바이브,15540,2021/12,2023/11/07,1,147509,  사업지원 서비스업,4
18,(주)엔에스쇼핑,138250,2021/12,2022/03/22,1,74709,  소매업; 자동차 제외,4
19,(주)엘엑스세미콘,108320,2021/12,2022/11/03,1,32601,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",4
20,(주)엠앤씨생명과학,225860,2021/12,2022/04/27,1,32004,  화학물질 및 화학제품 제조업; 의약품 제외,4
21,(주)엠피씨플러스,50540,2021/12,2023/05/08,1,147509,  사업지원 서비스업,4
22,(주)연이비앤티,90740,2021/12,2022/10/17,1,32602,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",4
23,(주)오션스톤,329020,2021/12,2022/12/27,1,74603,  도매 및 상품 중개업,4
24,(주)원익피앤이,131390,2021/12,2022/11/29,1,32801,  전기장비 제조업,4
25,(주)인터코스,240340,2021/12,2022/05/17,1,32004,  화학물질 및 화학제품 제조업; 의약품 제외,4
26,(주)제이웨이,58420,2021/12,2023/04/14,1,105901,  영상ㆍ오디오 기록물 제작 및 배급업,4
27,(주)켐온,217600,2021/12,2022/12/16,1,137001,  연구개발업,4
28,(주)코리아센터,290510,2021/12,2022/12/16,1,105802,  출판업,4
29,(주)코스온,69110,2021/12,2023/10/20,1,32004,  화학물질 및 화학제품 제조업; 의약품 제외,4
30,(주)코원플레이,56000,2021/12,2023/03/30,1,105802,  출판업,4
31,(주)티티씨디펜스,309900,2021/12,2022/06/16,1,137309,"  기타 전문, 과학 및 기술 서비스업",4
32,(주)피엔아이컴퍼니,242350,2021/12,2023/09/18,1,106200,"  컴퓨터 프로그래밍, 시스템 통합 및 관리업",4
33,(주)한프,66110,2021/12,2022/04/06,1,32603,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",4
34,나이스평가정보(주),30190,2021/12,2023/08/08,1,106309,  정보서비스업,4
35,넥슨지티(주),41140,2021/12,2022/04/15,1,105802,  출판업,4
36,롯데푸드(주),2270,2021/12,2022/07/20,1,31005,  식료품 제조업,4
37,명진홀딩스(주),267060,2021/12,2023/04/18,1,31002,  식료품 제조업,4
38,무송지오씨(주),135160,2021/12,2023/05/02,1,32803,  전기장비 제조업,4
39,미래오토스,176440,2021/12,2022/06/27,1,32602,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",4
40,에스에이치엔엘(주),50320,2021/12,2022/05/31,1,32509,  금속가공제품 제조업; 기계 및 가구 제외,4
41,에스케이오션플랜트(주),100090,2021/12,2023/04/19,1,32401,  1차 금속 제조업,4
42,오스템임플란트(주),48260,2021/12,2023/08/14,1,32701,"  의료, 정밀, 광학기기 및 시계 제조업",4
43,원텍(주),216280,2021/12,2022/06/30,1,32701,"  의료, 정밀, 광학기기 및 시계 제조업",4
44,유네코(주),64510,2021/12,2023/01/17,1,32902,  기타 기계 및 장비 제조업,4
45,지나인제약(주),78650,2021/12,2023/07/21,1,32703,"  의료, 정밀, 광학기기 및 시계 제조업",4
46,참존글로벌(주),158310,2021/12,2022/11/09,1,32902,  기타 기계 및 장비 제조업,4
47,청광건설(주),140290,2021/12,2023/05/08,1,64102,  종합 건설업,4
48,한일네트웍스(주),46110,2021/12,2022/10/05,1,106301,  정보서비스업,4
49,현진소재(주),53660,2021/12,2022/04/26,1,32509,  금속가공제품 제조업; 기계 및 가구 제외,4
